legacy_id,final_full_display_name,creo_safe_name,actual_part_number,make_buy,material,subsystem,occurrence_naming_rule,traceability_property,abbreviation_reason
DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003,FIXED_SECTOR_3_WITH_TWO_RADIAL_M3_BACKUP-GUIDE_HEAD_POCKETS_TI,FIXED_SECTOR_3_WITH_TW_179D3078,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003;SOURCE_ID=DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003,Deterministic 31-character Creo filename limit
WP04-MOVING-GUIDE-SLEEVE-R2,FOLLOWER-MOUNTED_INNER_TELESCOPING_SPRING_GUIDE_SLEEVE_PEEK,FOLLOWER-MOUNTED_INNER_FEF81885,,MAKE,PEEK,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-MOVING-GUIDE-SLEEVE-R2;SOURCE_ID=WP04-MOVING-GUIDE-SLEEVE-R2,Deterministic 31-character Creo filename limit
WP04-GUIDE-RAIL-001-R2,FOLLOWER_ANTI-ROTATION_GUIDE_RAIL_WITH_TWO_M3_CAPTIVE-SCREW_END_LANDS_PEEK,FOLLOWER_ANTI-ROTATION_B82DF555,,MAKE,PEEK,Aft_Service_Closure_Assembly,base name + _01.._03,LEGACY_ID=WP04-GUIDE-RAIL-001-R2;SOURCE_ID=WP04-GUIDE-RAIL-001-R2,Deterministic 31-character Creo filename limit
DF8-R2-CARTRIDGE-CARRIER-001,FOUR-CARTRIDGE_DOUBLE-PLATE_CARRIER_AL,FOUR-CARTRIDGE_DOUBLE-_C7692199,,MAKE,7075-T6 aluminum,Forward_Body_Assembly,base name + _01.._02,LEGACY_ID=DF8-R2-CARTRIDGE-CARRIER-001;SOURCE_ID=DF8-R2-CARTRIDGE-CARRIER-001,Deterministic 31-character Creo filename limit
DF8-FINAL-WP04-MANIFOLD-BRACKET,FULL-FLOW_MANIFOLD_RADIAL_SUPPORT_BRACKET_TI,FULL-FLOW_MANIFOLD_RAD_A27076D5,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-WP04-MANIFOLD-BRACKET;SOURCE_ID=DF8-FINAL-WP04-MANIFOLD-BRACKET,Deterministic 31-character Creo filename limit
DF8-FINAL-WP04-FULLFLOW-MANIFOLD,FULL-FLOW_TERMINAL_MANIFOLD_WITH_BRAZED_GAS_PORT_SS,FULL-FLOW_TERMINAL_MAN_FF5CD83F,,MAKE,316 stainless steel,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-WP04-FULLFLOW-MANIFOLD;SOURCE_ID=DF8-FINAL-WP04-FULLFLOW-MANIFOLD,Deterministic 31-character Creo filename limit
DF8-R2-STOW-DOG-GUIDE-001,FULL-STROKE_AFT-RING-MOUNTED_STOW-DOG_U-GUIDE_SS,FULL-STROKE_AFT-RING-M_D29C6941,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-STOW-DOG-GUIDE-001;SOURCE_ID=DF8-R2-STOW-DOG-GUIDE-001,Deterministic 31-character Creo filename limit
WP05-SERVICE-THROAT-R2,Fixed_Hinge_Leaf_Service_Throat_TI,Fixed_Hinge_Leaf_Servi_F2534C99,,MAKE,Ti-6Al-4V,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP05-SERVICE-THROAT-R2;SOURCE_ID=WP05-SERVICE-THROAT-R2,Deterministic 31-character Creo filename limit
DF8-R2-BALLAST-001,Forward_Ballast_W,Forward_Ballast_W,,MAKE,Tungsten heavy alloy,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-BALLAST-001;SOURCE_ID=DF8-R2-BALLAST-001,
DF8-R2-FWD-SHELL-001,Forward_Shell_TI,Forward_Shell_TI,,MAKE,Ti-3Al-2.5V Grade 9,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-FWD-SHELL-001;SOURCE_ID=DF8-R2-FWD-SHELL-001,
DF8-FINAL-GAS-MAIN-RING-GLAND,GAS_MAIN_TWO-COLLAR_BULKHEAD_GLAND_SS,GAS_MAIN_TWO-COLLAR_BU_EEBBE0BC,,MAKE,316 stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._02,LEGACY_ID=DF8-FINAL-GAS-MAIN-RING-GLAND;SOURCE_ID=DF8-FINAL-GAS-MAIN-RING-GLAND,Deterministic 31-character Creo filename limit
WP04-LATCH-SUPPORT-R2,GUIDE-RAIL-3_TO_LATCH_TWO-SCREW_SUPPORT_BLADE_SS,GUIDE-RAIL-3_TO_LATCH_D6CB60FA,,MAKE,17-4PH stainless steel,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-LATCH-SUPPORT-R2;SOURCE_ID=WP04-LATCH-SUPPORT-R2,Deterministic 31-character Creo filename limit
DF8-FINAL-GAS-MAIN-001,Gas_Main_SS,Gas_Main_SS,,MAKE,ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-GAS-MAIN-001;SOURCE_ID=DF8-FINAL-GAS-MAIN-001,
WP04-HST-001-R2,HARNESS_STRUCTURAL_TERMINAL_WITH_FOUR_WEB_SLOTS_AND_DOUBLE-SHEAR_CLEVIS_SS,HARNESS_STRUCTURAL_TER_8A49D1B9,,MAKE,17-4PH stainless steel,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-HST-001-R2;SOURCE_ID=WP04-HST-001-R2,Deterministic 31-character Creo filename limit
V80040,Halkey_Roberts_Water_Bobbin_V80040,Halkey_Roberts_Water_B_B9F610C2,V80040,BUY,Water-sensitive media,Forward_Body_Assembly,base name,LEGACY_ID=V80040;SOURCE_ID=V80040,Deterministic 31-character Creo filename limit
WP04-RHP-001-R2,INTEGRAL_STRUCTURAL_RING_AND_RECOVERY_HARDPOINT_LUG_TI,INTEGRAL_STRUCTURAL_RI_17284E5F,,MAKE,Ti-6Al-4V,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-RHP-001-R2;SOURCE_ID=WP04-RHP-001-R2,Deterministic 31-character Creo filename limit
GN-615.3-M3-KN-PFB,JW_Winco_Ball_Plunger_GN-615.3-M3-KN-PFB,JW_Winco_Ball_Plunger_F4A1E75B,GN-615.3-M3-KN-PFB,BUY,AISI 303 housing / hardened AISI 420C ball / AISI 631 spring / PFB polyamide patch,Aft_Service_Closure_Assembly,base name + _01.._04,LEGACY_ID=GN-615.3-M3-KN-PFB;SOURCE_ID=GN-615.3-M3-KN-PFB,Deterministic 31-character Creo filename limit
DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001,LASER-WELDED_TITANIUM_SPRING_CLIP_FOR_MANIFOLD_FEED_TI,LASER-WELDED_TITANIUM_4C0BF7FB,,MAKE,Ti-6Al-4V spring temper,Forward_Body_Assembly,base name + _01.._03,LEGACY_ID=DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001;SOURCE_ID=DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001,Deterministic 31-character Creo filename limit
LELAND-81121,Leland_CO2_Cartridge_81121,Leland_CO2_Cartridge_81121,LELAND-81121,BUY,Steel pressure cartridge,Forward_Body_Assembly,base name + _01.._04,LEGACY_ID=LELAND-81121;SOURCE_ID=LELAND-81121,
WP05-DOOR-R2,Moving_Hinge_Leaf_Aft_Door_TI,Moving_Hinge_Leaf_Aft_Door_TI,,MAKE,Ti-6Al-4V,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP05-DOOR-R2;SOURCE_ID=WP05-DOOR-R2,
WP04-AFT-RAIL-SUPPORT-R2,ONE-PIECE_AFT_GUIDE-RAIL_SUPPORT_RING_WITH_THREE_M3_THREADS_TI,ONE-PIECE_AFT_GUIDE-RA_45A59E4D,,MAKE,Ti-6Al-4V,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-AFT-RAIL-SUPPORT-R2;SOURCE_ID=WP04-AFT-RAIL-SUPPORT-R2,Deterministic 31-character Creo filename limit
DF8-FINAL-PILOT-LINE-RING-GLAND,PILOT_LINE_TWO-COLLAR_BULKHEAD_GLAND_SS,PILOT_LINE_TWO-COLLAR_9B5BFE86,,MAKE,316 stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._02,LEGACY_ID=DF8-FINAL-PILOT-LINE-RING-GLAND;SOURCE_ID=DF8-FINAL-PILOT-LINE-RING-GLAND,Deterministic 31-character Creo filename limit
DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,PORTED_FORWARD_BOOSTER_CLOSURE_WITH_WELD_LIP_AND_VALVE_ADAPTER_SS,PORTED_FORWARD_BOOSTER_2FFE41D1,,MAKE,316 stainless steel,Forward_Body_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001;SOURCE_ID=DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,Deterministic 31-character Creo filename limit
DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK,PRESS-FIT_LOCK_GUIDE_O_D4B308B2,,MAKE,PEEK,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-AUTO-LOCK-BUSHING-001;SOURCE_ID=DF8-R2-AUTO-LOCK-BUSHING-001,Deterministic 31-character Creo filename limit
DF8-R2-BACKUP-GUIDE-LONGERON-003,PRIMARY_LONGERON_3_WITH_TWO_RADIAL_BACKUP-GUIDE_M3_CLEARANCE_BORES_TI,PRIMARY_LONGERON_3_WIT_AAB40731,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-BACKUP-GUIDE-LONGERON-003;SOURCE_ID=DF8-R2-BACKUP-GUIDE-LONGERON-003,Deterministic 31-character Creo filename limit
DF8-R2-ROUTED-LONGERON-001,PRIMARY_LONGERON_WITH_TWO_JIG-BORED_ROUTE_CHANNELS_TI,PRIMARY_LONGERON_WITH_6702CE25,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name + _01.._02,LEGACY_ID=DF8-R2-ROUTED-LONGERON-001;SOURCE_ID=DF8-R2-ROUTED-LONGERON-001,Deterministic 31-character Creo filename limit
DF8-R2-STRUCT-RING-PLAIN-001,PRIMARY_STRUCTURAL_TRANSITION_RING_WITH_FOUR_TAPPED_CARRIER_LANDS_TI,PRIMARY_STRUCTURAL_TRA_B40E7620,,MAKE,Ti-6Al-4V,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-STRUCT-RING-PLAIN-001;SOURCE_ID=DF8-R2-STRUCT-RING-PLAIN-001,Deterministic 31-character Creo filename limit
DF8-R2-NOSE-001,Penetrator_Nose_W,Penetrator_Nose_W,,MAKE,Tungsten heavy alloy,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-NOSE-001;SOURCE_ID=DF8-R2-NOSE-001,
DF8-FINAL-PILOT-LINE-001,Pilot_Line_SS,Pilot_Line_SS,,MAKE,ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-PILOT-LINE-001;SOURCE_ID=DF8-FINAL-PILOT-LINE-001,
DF8-R2-PIVOT-CARRIER-001,Pivot_Carrier_TI,Pivot_Carrier_TI,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-PIVOT-CARRIER-001;SOURCE_ID=DF8-R2-PIVOT-CARRIER-001,
DF8-R2-WATER-INLET-001,RADIAL_FLOOD_INLET_GLAND_AND_ANTI-DEBRIS_SCREEN_SS,RADIAL_FLOOD_INLET_GLA_A8ACA4AE,,MAKE,316 stainless steel,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-WATER-INLET-001;SOURCE_ID=DF8-R2-WATER-INLET-001,Deterministic 31-character Creo filename limit
WP04-LATCH-HOUSING-R2,RADIAL_FOLLOWER_LATCH_HOUSING_WITH_REAMED_SEAR_GUIDE_SS,RADIAL_FOLLOWER_LATCH_2BBDBFAE,,MAKE,17-4PH stainless steel,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-LATCH-HOUSING-R2;SOURCE_ID=WP04-LATCH-HOUSING-R2,Deterministic 31-character Creo filename limit
DF8-R2-ARM-STOP-PAD-001,REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS,REPLACEABLE_ARM_STOP_A_81632427,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-ARM-STOP-PAD-001;SOURCE_ID=DF8-R2-ARM-STOP-PAD-001,Deterministic 31-character Creo filename limit
ROTOR-CLIP-DC-4SS,Rotor_Clip_Retaining_Ring_DC-4SS,Rotor_Clip_Retaining_R_F8DCF531,ROTOR-CLIP-DC-4SS,BUY,PH 15-7 Mo stainless spring steel,Arm_Activation_Powertrain_Assembly,base name + _01.._06,LEGACY_ID=ROTOR-CLIP-DC-4SS;SOURCE_ID=ROTOR-CLIP-DC-4SS,Deterministic 31-character Creo filename limit
DF8-R2-FWD-LONGERON-001,SHORTENED_FORWARD_PRIMARY_LOAD-PATH_LONGERON_TI,SHORTENED_FORWARD_PRIM_3D3DB287,,MAKE,Ti-6Al-4V,Forward_Body_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-FWD-LONGERON-001;SOURCE_ID=DF8-R2-FWD-LONGERON-001,Deterministic 31-character Creo filename limit
DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,SOLID_AFT_BOOSTER_CLOSURE_WITH_LOCATING_PILOT_SS,SOLID_AFT_BOOSTER_CLOS_2FE2C491,,MAKE,316 stainless steel,Forward_Body_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001;SOURCE_ID=DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,Deterministic 31-character Creo filename limit
DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER,SPLIT_PEEK_GUIDE_LINER_FOR_BOWDEN_SHEATH_LONG_SPAN_PEEK,SPLIT_PEEK_GUIDE_LINER_55ACFBBA,,MAKE,PEEK,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER;SOURCE_ID=DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER,Deterministic 31-character Creo filename limit
DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER,SPLIT_PEEK_GUIDE_LINER_FOR_GAS_MAIN_LONG_SPAN_PEEK,SPLIT_PEEK_GUIDE_LINER_788ED1C1,,MAKE,PEEK,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER;SOURCE_ID=DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER,Deterministic 31-character Creo filename limit
DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER,SPLIT_PEEK_GUIDE_LINER_FOR_PILOT_LINE_LONG_SPAN_PEEK,SPLIT_PEEK_GUIDE_LINER_2D1DEFD8,,MAKE,PEEK,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER;SOURCE_ID=DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER,Deterministic 31-character Creo filename limit
DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS,SPRING-DRIVEN_POSITIVE_320AD997,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-AUTO-LOCK-DOG-001;SOURCE_ID=DF8-R2-AUTO-LOCK-DOG-001,Deterministic 31-character Creo filename limit
WP04-RB-001-R2,SPRING_REACTION_BULKHEAD_WITH_GUIDE-RAIL_BORES_AND_PERMANENT_SHELL_LAND_TI,SPRING_REACTION_BULKHE_1E3B03E0,,MAKE,Ti-6Al-4V,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-RB-001-R2;SOURCE_ID=WP04-RB-001-R2,Deterministic 31-character Creo filename limit
AMSTEEL-BLUE-872-7-64-R2,STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE,STRUCTURAL_RECOVERY_TE_4DAB80EB,,MAKE,HMPE rope,Aft_Service_Closure_Assembly,base name,LEGACY_ID=AMSTEEL-BLUE-872-7-64-R2;SOURCE_ID=AMSTEEL-BLUE-872-7-64-R2,Deterministic 31-character Creo filename limit
DF8-R2-STRUCT-RING-ROUTED-001,STRUCTURAL_RING_WITH_ROUTE_PASSAGES_ARM_RELIEFS_AND_FULLFLOW_CIRCLIP_REACTION_CAGE_TI,STRUCTURAL_RING_WITH_R_761E73E6,,MAKE,Ti-6Al-4V,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-STRUCT-RING-ROUTED-001;SOURCE_ID=DF8-R2-STRUCT-RING-ROUTED-001,Deterministic 31-character Creo filename limit
SS-CHS2-1,Swagelok_Check_Valve_SS-CHS2-1,Swagelok_Check_Valve_SS-CHS2-1,SS-CHS2-1,BUY,316 stainless purchased check-valve assembly,Forward_Body_Assembly,base name + _01.._03,LEGACY_ID=SS-CHS2-1;SOURCE_ID=SS-CHS2-1,
DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE_CROSSHEAD-GUIDE_FORWARD_MOUNT_TI,THREE-SPOKE_CROSSHEAD-_D791F0B8,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-CROSSHEAD-GUIDE-SPIDER-001;SOURCE_ID=DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,Deterministic 31-character Creo filename limit
DF8-R2-STOW-DOG-INHIBIT-PIN-001,WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS,WITHDRAWABLE_HEADED_TR_E926CA1B,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-STOW-DOG-INHIBIT-PIN-001;SOURCE_ID=DF8-R2-STOW-DOG-INHIBIT-PIN-001,Deterministic 31-character Creo filename limit
DF8-R2-WATER-TRIGGER-HSG-001,Water_Trigger_Housing_AC,Water_Trigger_Housing_AC,,MAKE,Acetal,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-WATER-TRIGGER-HSG-001;SOURCE_ID=DF8-R2-WATER-TRIGGER-HSG-001,
DF8-R2-HARNESS-BAND-1,X-6292_STRUCTURAL_HARNESS_CLOSED_BAND_1_HMPE,X-6292_STRUCTURAL_HARN_E7A576D0,,MAKE,UHMWPE webbing,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-HARNESS-BAND-1;SOURCE_ID=DF8-R2-HARNESS-BAND-1,Deterministic 31-character Creo filename limit
DF8-R2-HARNESS-BAND-2,X-6292_STRUCTURAL_HARNESS_CLOSED_BAND_2_HMPE,X-6292_STRUCTURAL_HARN_EA48759C,,MAKE,UHMWPE webbing,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-HARNESS-BAND-2;SOURCE_ID=DF8-R2-HARNESS-BAND-2,Deterministic 31-character Creo filename limit
DF8-R2-HARNESS-LEG-XN,X-6292_TERMINAL_HARNESS_LEG_XN_HMPE,X-6292_TERMINAL_HARNES_C59485D2,,MAKE,UHMWPE webbing,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-HARNESS-LEG-XN;SOURCE_ID=DF8-R2-HARNESS-LEG-XN,Deterministic 31-character Creo filename limit
DF8-R2-HARNESS-LEG-XP,X-6292_TERMINAL_HARNESS_LEG_XP_HMPE,X-6292_TERMINAL_HARNES_204E8D74,,MAKE,UHMWPE webbing,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-HARNESS-LEG-XP;SOURCE_ID=DF8-R2-HARNESS-LEG-XP,Deterministic 31-character Creo filename limit
DF8-R2-HARNESS-LEG-YN,X-6292_TERMINAL_HARNESS_LEG_YN_HMPE,X-6292_TERMINAL_HARNES_5BCC16C9,,MAKE,UHMWPE webbing,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-HARNESS-LEG-YN;SOURCE_ID=DF8-R2-HARNESS-LEG-YN,Deterministic 31-character Creo filename limit
DF8-R2-HARNESS-LEG-YP,X-6292_TERMINAL_HARNESS_LEG_YP_HMPE,X-6292_TERMINAL_HARNES_B344DBA4,,MAKE,UHMWPE webbing,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-HARNESS-LEG-YP;SOURCE_ID=DF8-R2-HARNESS-LEG-YP,Deterministic 31-character Creo filename limit
