occurrence_id,delta_action,baseline_definition,final_definition,baseline_mass_kg,final_mass_kg,mass_delta_kg,baseline_parent_path,final_parent_path,reason
CORDURA-FLAP-RIGHT,ADDED,N/A,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,0.000000,0.065000,0.065000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
CROSSHEAD-001,RETAINED_MODIFIED_DEFINITION,DF8-R2-CROSSHEAD-001,DF8-SHORT14-CROSSHEAD-001,0.012188,0.012329,0.000141,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
CROSSHEAD-GUIDE-001,RETAINED_UNCHANGED,DF8-R2-CROSSHEAD-GUIDE-001,DF8-R2-CROSSHEAD-GUIDE-001,0.011537,0.011537,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
CROSSHEAD-GUIDE-LOCK-SCREW-001,RETAINED_UNCHANGED,SSCL-M4-8-A4,SSCL-M4-8-A4,0.001120,0.001120,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
CROSSHEAD-GUIDE-SPIDER,RETAINED_UNCHANGED,DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,0.001234,0.001234,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
DOOR-DETENT-1,REMOVED,GN-615.3-M3-KN-PFB,N/A,0.000483,0.000000,-0.000483,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
DOOR-DETENT-2,REMOVED,GN-615.3-M3-KN-PFB,N/A,0.000483,0.000000,-0.000483,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
DOOR-DETENT-3,REMOVED,GN-615.3-M3-KN-PFB,N/A,0.000483,0.000000,-0.000483,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
DOOR-DETENT-4,REMOVED,GN-615.3-M3-KN-PFB,N/A,0.000483,0.000000,-0.000483,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
EXT-BUOY-PANEL-01,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-01,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
EXT-BUOY-PANEL-02,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-02,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
EXT-BUOY-PANEL-03,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-03,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
EXT-BUOY-PANEL-04,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-04,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
EXT-BUOY-PANEL-05,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-05,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
EXT-BUOY-PANEL-06,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-06,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
EXT-BUOY-PANEL-07,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-07,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
EXT-BUOY-PANEL-08,ADDED,N/A,DF8-SHORT14-BUOY-PANEL-08,0.000000,0.023750,0.023750,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
FIXED-SECTOR-1,RETAINED_MODIFIED_DEFINITION,DF8-R2-FIXED-SECTOR-001,DF8-SHORT14-FIXED-SECTOR-001,0.340459,0.177814,-0.162645,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
FIXED-SECTOR-2,RETAINED_MODIFIED_DEFINITION,DF8-R2-FIXED-SECTOR-001,DF8-SHORT14-FIXED-SECTOR-001,0.340459,0.177814,-0.162645,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
FIXED-SECTOR-3,RETAINED_MODIFIED_DEFINITION,DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003,DF8-SHORT14-BACKUP-ACCESS-FIXED-SECTOR-003,0.339726,0.177081,-0.162645,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
FIXED-STOP-1,RETAINED_UNCHANGED,DF8-R2-FIXED-STOP-001,DF8-R2-FIXED-STOP-001,0.002394,0.002394,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
FIXED-STOP-2,RETAINED_UNCHANGED,DF8-R2-FIXED-STOP-001,DF8-R2-FIXED-STOP-001,0.002394,0.002394,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
FIXED-STOP-3,RETAINED_UNCHANGED,DF8-R2-FIXED-STOP-001,DF8-R2-FIXED-STOP-001,0.002394,0.002394,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
FIXED-STOP-DOWEL-1-1,RETAINED_UNCHANGED,HDP-3-8-A1,HDP-3-8-A1,0.000470,0.000470,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-DOWEL-1-2,RETAINED_UNCHANGED,HDP-3-8-A1,HDP-3-8-A1,0.000470,0.000470,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-DOWEL-2-1,RETAINED_UNCHANGED,HDP-3-8-A1,HDP-3-8-A1,0.000470,0.000470,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-DOWEL-2-2,RETAINED_UNCHANGED,HDP-3-8-A1,HDP-3-8-A1,0.000470,0.000470,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-DOWEL-3-1,RETAINED_UNCHANGED,HDP-3-8-A1,HDP-3-8-A1,0.000470,0.000470,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-DOWEL-3-2,RETAINED_UNCHANGED,HDP-3-8-A1,HDP-3-8-A1,0.000470,0.000470,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-SCREW-1-1,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-SCREW-1-2,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-SCREW-2-1,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-SCREW-2-2,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-SCREW-3-1,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FIXED-STOP-SCREW-3-2,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
FULLFLOW-VALVE-001,REMOVED,DF8-R2-FULLFLOW-VALVE-001,N/A,0.020074,0.000000,-0.020074,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
FULLFLOW-VALVE-CIRCLIP-001,REMOVED,HEC-10-A4,N/A,0.000410,0.000000,-0.000410,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
FWD-CARRIER-SCREW-1,REMOVED,SSK-M3-6-A4-P80,N/A,0.000360,0.000000,-0.000360,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
FWD-CARRIER-SCREW-2,REMOVED,SSK-M3-6-A4-P80,N/A,0.000360,0.000000,-0.000360,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
FWD-CARRIER-SCREW-3,REMOVED,SSK-M3-6-A4-P80,N/A,0.000360,0.000000,-0.000360,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
FWD-CARRIER-SCREW-4,REMOVED,SSK-M3-6-A4-P80,N/A,0.000360,0.000000,-0.000360,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
FWD-LONGERON-1,REMOVED,DF8-R2-FWD-LONGERON-001,N/A,0.003510,0.000000,-0.003510,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
FWD-LONGERON-2,REMOVED,DF8-R2-FWD-LONGERON-001,N/A,0.003510,0.000000,-0.003510,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
FWD-LONGERON-3,REMOVED,DF8-R2-FWD-LONGERON-001,N/A,0.003510,0.000000,-0.003510,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
FWD-RING-01,REMOVED,DF8-R2-STRUCT-RING-PLAIN-001,N/A,0.032841,0.000000,-0.032841,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
FWD-RING-02,RETAINED_MODIFIED_DEFINITION,DF8-R2-STRUCT-RING-ROUTED-001,DF8-SHORT14-BALLAST-CARRIER-TRANSITION-RING-001,0.029194,0.025715,-0.003479,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,Definition transformed for the SHORT14 configuration
FWD-SHELL-001,REMOVED,DF8-R2-FWD-SHELL-001,N/A,0.098188,0.000000,-0.098188,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
GLAND-BOWDEN-SHEATH-AFT,REMOVED,DF8-FINAL-BOWDEN-SHEATH-RING-GLAND,N/A,0.000684,0.000000,-0.000684,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Route deleted because its internal buoy architecture endpoints were removed
GLAND-BOWDEN-SHEATH-FWD,REMOVED,DF8-FINAL-BOWDEN-SHEATH-RING-GLAND,N/A,0.000684,0.000000,-0.000684,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Route deleted because its internal buoy architecture endpoints were removed
GLAND-GAS-MAIN-AFT,REMOVED,DF8-FINAL-GAS-MAIN-RING-GLAND,N/A,0.000783,0.000000,-0.000783,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Route deleted because its internal buoy architecture endpoints were removed
GLAND-GAS-MAIN-FWD,REMOVED,DF8-FINAL-GAS-MAIN-RING-GLAND,N/A,0.000783,0.000000,-0.000783,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Route deleted because its internal buoy architecture endpoints were removed
GLAND-PILOT-LINE-AFT,REMOVED,DF8-FINAL-PILOT-LINE-RING-GLAND,N/A,0.000659,0.000000,-0.000659,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Route deleted because its internal buoy architecture endpoints were removed
GLAND-PILOT-LINE-FWD,REMOVED,DF8-FINAL-PILOT-LINE-RING-GLAND,N/A,0.000659,0.000000,-0.000659,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Route deleted because its internal buoy architecture endpoints were removed
GS19-BODY-001,RETAINED_UNCHANGED,GS-19-50-V4A-B8-B8,GS-19-50-V4A-B8-B8,0.124000,0.124000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
GS19-CLIP-FIXED,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-E-RING-004,DF8-R2-ACTUATOR-E-RING-004,0.000043,0.000043,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
GS19-CLIP-MOVING,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-E-RING-004,DF8-R2-ACTUATOR-E-RING-004,0.000043,0.000043,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
GS19-FIXED-YOKE,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,0.003134,0.003134,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
GS19-PIN-FIXED,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-PIN-004,DF8-R2-ACTUATOR-PIN-004,0.001280,0.001280,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
GS19-PIN-MOVING,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-PIN-004,DF8-R2-ACTUATOR-PIN-004,0.001280,0.001280,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
GS19-ROD-001,RETAINED_UNCHANGED,GS-19-50-V4A-B8-B8-ROD-CHILD,GS-19-50-V4A-B8-B8-ROD-CHILD,0.020000,0.020000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
GUIDE-RAIL-1-SCREW-AFT,REMOVED,SSCA-M3-8-A4-BL,N/A,0.000800,0.000000,-0.000800,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/590_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
GUIDE-RAIL-1-SCREW-FWD,REMOVED,SSCA-M3-8-A4-BL,N/A,0.000800,0.000000,-0.000800,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/590_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
GUIDE-RAIL-2-SCREW-AFT,REMOVED,SSCA-M3-8-A4-BL,N/A,0.000800,0.000000,-0.000800,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/590_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
GUIDE-RAIL-2-SCREW-FWD,REMOVED,SSCA-M3-8-A4-BL,N/A,0.000800,0.000000,-0.000800,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/590_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
GUIDE-RAIL-3-SCREW-AFT,REMOVED,SSCA-M3-8-A4-BL,N/A,0.000800,0.000000,-0.000800,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/590_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
GUIDE-RAIL-3-SCREW-FWD,REMOVED,SSCA-M3-8-A4-BL,N/A,0.000800,0.000000,-0.000800,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/590_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
HARNESS-BAND-1,REMOVED,DF8-R2-HARNESS-BAND-1,N/A,0.045000,0.000000,-0.045000,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
HARNESS-BAND-2,REMOVED,DF8-R2-HARNESS-BAND-2,N/A,0.045000,0.000000,-0.045000,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
HARNESS-LEG-XN,REMOVED,DF8-R2-HARNESS-LEG-XN,N/A,0.007500,0.000000,-0.007500,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
HARNESS-LEG-XP,REMOVED,DF8-R2-HARNESS-LEG-XP,N/A,0.007500,0.000000,-0.007500,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
HARNESS-LEG-YN,REMOVED,DF8-R2-HARNESS-LEG-YN,N/A,0.007500,0.000000,-0.007500,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
HARNESS-LEG-YP,REMOVED,DF8-R2-HARNESS-LEG-YP,N/A,0.007500,0.000000,-0.007500,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
HARNESS-TERMINAL-001,REMOVED,WP04-HST-001-R2,N/A,0.015609,0.000000,-0.015609,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
HBD-BODY-001,RETAINED_UNCHANGED,HBD-15-25-AA-P,HBD-15-25-AA-P,0.190000,0.190000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
HBD-CLIP-FIXED,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-E-RING-004,DF8-R2-ACTUATOR-E-RING-004,0.000043,0.000043,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
HBD-CLIP-MOVING,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-E-RING-004,DF8-R2-ACTUATOR-E-RING-004,0.000043,0.000043,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
HBD-FIXED-YOKE,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,0.003098,0.003098,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
HBD-PIN-FIXED,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-PIN-004,DF8-R2-ACTUATOR-PIN-004,0.001280,0.001280,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
HBD-PIN-MOVING,RETAINED_UNCHANGED,DF8-R2-ACTUATOR-PIN-004,DF8-R2-ACTUATOR-PIN-004,0.001280,0.001280,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
HBD-ROD-001,RETAINED_UNCHANGED,HBD-15-25-AA-P-ROD-CHILD,HBD-15-25-AA-P-ROD-CHILD,0.030000,0.030000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
HOOK-STRIP,ADDED,N/A,DF8-SHORT14-HOOK-STRIP-001,0.000000,0.012000,0.012000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
HYDRO-1F-INFLATOR-PROXY,ADDED,N/A,HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,0.000000,0.180000,0.180000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
HYDRO-1F-WATER-BOBBIN-V80040,ADDED,N/A,V80040,0.000000,0.001696,0.001696,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
INFLATOR-GUARD,ADDED,N/A,DF8-SHORT14-INFLATOR-GUARD-001,0.000000,0.055000,0.055000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
LATCH-SUPPORT-BRACKET,REMOVED,WP04-LATCH-SUPPORT-R2,N/A,0.001255,0.000000,-0.001255,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/590_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal follower/sleeve/door ejection architecture
LINK-1-1,RETAINED_UNCHANGED,DF8-R2-SHORT-LINK-001,DF8-R2-SHORT-LINK-001,0.000859,0.000859,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LINK-1-2,RETAINED_UNCHANGED,DF8-R2-SHORT-LINK-001,DF8-R2-SHORT-LINK-001,0.000859,0.000859,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
