component_name,part_number,function,quantity,exact_location,selection_basis,location_orientation_basis,load_pressure_travel_environment_requirement,rating_or_calculated_capacity,interface_and_attachment,clearances,tolerance_requirements,assembly_access,service_reset_access,material_compatibility,mass_cg_effect,applicable_analysis,evidence,verification_status
CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS,DF8-R2-STOW-DOG-001,CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS_01: X 15.000..19.000 mm; Y -2.200..2.200 mm; Z 726.956..732.456 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS_02: X -11.405..-5.595 mm; Y 11.890..17.554 mm; Z 726.956..732.456 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS_03: X -11.405..-5.595 mm; Y -17.554..-11.890 mm; Z 726.956..732.456 mm,Wire EDM and grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RADIAL_GUIDE_AND_RETURN_SPRING (DOF 1 RADIAL TRANSLATION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.0007049382892415685 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS_01: X 16.200..17.760 mm; Y 2.250..2.600 mm; Z 728.906..730.506 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS_02: X -11.132..-10.049 mm; Y 12.730..14.256 mm; Z 728.906..730.506 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS_03: X -6.931..-5.848 mm; Y -16.681..-15.155 mm; Z 728.906..730.506 mm,External keeper remains seated on and translates with the headed inhibit pin in both retained and withdrawn endpoint states.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,EXTERNAL_GROOVE_RETAINER (DOF 1 AXIAL TRANSLATION WITH PARENT PIN),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1.4310 stainless spring steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,3.948942128413097e-06 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",External keeper remains seated on and translates with the headed inhibit pin in both retained and withdrawn endpoint states.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS,DF8-R2-STOW-DOG-INHIBIT-PIN-001,WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS_01: X 16.200..17.800 mm; Y -3.600..3.000 mm; Z 728.906..730.506 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS_02: X -11.398..-4.982 mm; Y 12.703..17.215 mm; Z 728.906..730.506 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS_03: X -12.018..-5.602 mm; Y -16.742..-12.230 mm; Z 728.906..730.506 mm,Swiss turn; H900; grind; tether-feature inspection; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,WITHDRAWABLE_TRANSPORT_INHIBIT_PIN (DOF 1 AXIAL TRANSLATION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,5.93375184680702e-05 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS,DF8-R2-STOW-DOG-RETURN-SPRING-001,CAPTIVE STOW-DOG RADIAL RETURN SPRING,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS_01: X 11.170..14.950 mm; Y -0.600..0.600 mm; Z 729.106..730.306 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS_02: X -7.707..-5.585 mm; Y 9.674..12.947 mm; Z 729.106..730.306 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS_03: X -7.475..-5.353 mm; Y -12.947..-9.674 mm; Z 729.106..730.306 mm,Endpoint B-reps bound the full radial dog stroke; spring is captured between the integral guide bridge and dog inboard face.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,CAPTURED_STOW_DOG_RETURN_SPRING (DOF AXIAL COMPRESSION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1.4310 stainless spring steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,3.195904507999331e-07 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Endpoint B-reps bound the full radial dog stroke; spring is captured between the integral guide bridge and dog inboard face.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
AMSTEEL_EYE-SPLICE_THIMBLE_SS,DF8-R2-TETHER-THIMBLE-001,AMSTEEL EYE-SPLICE THIMBLE,2,Shortened_Aft_Body_External_Buoy_Assembly/Structural_Recovery_Tether_Assembly/AMSTEEL_EYE-SPLICE_THIMBLE_SS_01: X 14.000..29.632 mm; Y -2.000..2.000 mm; Z 1605.000..1621.000 mm | Shortened_Aft_Body_External_Buoy_Assembly/Structural_Recovery_Tether_Assembly/AMSTEEL_EYE-SPLICE_THIMBLE_SS_02: X 32.000..47.632 mm; Y -2.000..2.000 mm; Z 1580.000..1596.000 mm,Stamp and form; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,PINNED_TO_BUOY_HARNESS (DOF LATER_PHASE_TETHER_MOTION) | PINNED_TO_RECOVERY_HARDPOINT (DOF LATER_PHASE_TETHER_MOTION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,316 stainless steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,0.0028967149754297837 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORTENED_BODY_AFT_CAP_WITH_TETHER_SERVICE_PASSAGE_TI,DF8-SHORT14-AFT-CAP-001,SHORTENED BODY AFT CAP WITH TETHER SERVICE PASSAGE,1,Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/SHORTENED_BODY_AFT_CAP_WITH_TETHER_SERVICE_PASSAGE_TI: X -26.500..26.500 mm; Y -26.500..26.500 mm; Z 1671.400..1675.400 mm,5-axis mill; machine chafe-safe service passage; bolt and safety-wire to closure ring; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DEFINED_PERMANENT_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.03852351979077313 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
AFT_STRUCTURAL_CLOSURE_RING_TI,DF8-SHORT14-AFT-CLOSURE-RING-001,AFT STRUCTURAL CLOSURE RING,1,Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/AFT_STRUCTURAL_CLOSURE_RING_TI: X -25.300..25.300 mm; Y -25.300..25.300 mm; Z 1663.400..1671.400 mm,Mill-turn; weld to shell; face grind; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DEFINED_PERMANENT_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.03107333460038692 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
AFT_PRIMARY_LOAD-PATH_LONGERON_AFT_TI,DF8-SHORT14-AFT-LONGERON-AFT-001,AFT PRIMARY LOAD-PATH LONGERON AFT,3,Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/AFT_PRIMARY_LOAD-PATH_LONGERON_AFT_TI_01: X 10.263..13.992 mm; Y 19.179..22.687 mm; Z 1617.000..1663.400 mm | Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/AFT_PRIMARY_LOAD-PATH_LONGERON_AFT_TI_02: X -25.350..-22.957 mm; Y -1.548..1.548 mm; Z 1617.000..1663.400 mm | Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/AFT_PRIMARY_LOAD-PATH_LONGERON_AFT_TI_03: X 10.263..13.992 mm; Y -22.687..-19.179 mm; Z 1617.000..1663.400 mm,5-axis mill; qualified longitudinal shell weld; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DEFINED_PERMANENT_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.0014266960518677578 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
AFT_PRIMARY_LOAD-PATH_LONGERON_FWD_TI,DF8-SHORT14-AFT-LONGERON-FWD-001,AFT PRIMARY LOAD-PATH LONGERON FWD,3,Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/AFT_PRIMARY_LOAD-PATH_LONGERON_FWD_TI_01: X 10.263..13.992 mm; Y 19.179..22.687 mm; Z 741.400..1609.000 mm | Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/AFT_PRIMARY_LOAD-PATH_LONGERON_FWD_TI_02: X -25.350..-22.957 mm; Y -1.548..1.548 mm; Z 741.400..1609.000 mm | Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/AFT_PRIMARY_LOAD-PATH_LONGERON_FWD_TI_03: X 10.263..13.992 mm; Y -22.687..-19.179 mm; Z 741.400..1609.000 mm,5-axis mill; qualified longitudinal shell weld; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DEFINED_PERMANENT_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.02667675634914794 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_CLOSURE_SEGMENT_TI,DF8-SHORT14-AFT-SHELL-CLOSURE-001,SHORTENED AFT GRADE-9 TITANIUM SHELL CLOSURE SEGMENT,1,Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_CLOSURE_SEGMENT_TI: X -26.500..26.500 mm; Y -26.500..26.500 mm; Z 1617.000..1663.400 mm,Rounded +X exit continues through the aft shell segment without interrupting the three primary longerons.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DEFINED_PERMANENT_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-3Al-2.5V Grade 9; ASTM B600 clean/passivate; drawing-controlled shell finish,0.03782690138875042 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Rounded +X exit continues through the aft shell segment without interrupting the three primary longerons.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_FORWARD_SEGMENT_TI,DF8-SHORT14-AFT-SHELL-FORWARD-001,SHORTENED AFT GRADE-9 TITANIUM SHELL FORWARD SEGMENT,1,Shortened_Aft_Body_External_Buoy_Assembly/Shortened_Aft_Structure_Assembly/SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_FORWARD_SEGMENT_TI: X -26.500..26.500 mm; Y -26.500..26.500 mm; Z 741.400..1609.000 mm,Rounded +X exit prevents structural tether and body-thimble contact with the shell edge.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DEFINED_PERMANENT_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-3Al-2.5V Grade 9; ASTM B600 clean/passivate; drawing-controlled shell finish,0.7273446071334247 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Rounded +X exit prevents structural tether and body-thimble contact with the shell edge.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
378.206_MM_PIVOT-TO-TIP_SHORTENED_ARM_BLADE_WITH_CONTROLLED_ROUNDED_TIP_TI,DF8-SHORT14-ARM-BLADE-001,378.206 MM PIVOT-TO-TIP SHORTENED ARM BLADE WITH CONTROLLED ROUNDED TIP,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/378.206_MM_PIVOT-TO-TIP_SHORTENED_ARM_BLADE_WITH_CONTROLLED_ROUNDED_TIP_TI_01: X 11.800..28.200 mm; Y -6.859..6.859 mm; Z 344.900..733.206 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/378.206_MM_PIVOT-TO-TIP_SHORTENED_ARM_BLADE_WITH_CONTROLLED_ROUNDED_TIP_TI_02: X -18.738..-0.877 mm; Y 7.319..26.722 mm; Z 344.900..733.206 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/378.206_MM_PIVOT-TO-TIP_SHORTENED_ARM_BLADE_WITH_CONTROLLED_ROUNDED_TIP_TI_03: X -18.738..-0.877 mm; Y -26.722..-7.319 mm; Z 344.900..733.206 mm,"Root, pivot, link, stop, lock and retention interfaces are source-derived. PHYSICAL FABRIC-ENGAGEMENT AND RETENTION TEST REQUIRED.",Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,REVOLUTE (DOF 1 ROTATION ABOUT 8 MM PIVOT),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.06444988175252296 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.","Root, pivot, link, stop, lock and retention interfaces are source-derived. PHYSICAL FABRIC-ENGAGEMENT AND RETENTION TEST REQUIRED.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORTENED_PRIMARY_ARM-MODULE_LONGERON_TI,DF8-SHORT14-ARM-LONGERON-001,SHORTENED PRIMARY ARM-MODULE LONGERON,2,Arm_Activation_Powertrain_Assembly/SHORTENED_PRIMARY_ARM-MODULE_LONGERON_TI_01: X 5.953..17.112 mm; Y 16.263..23.375 mm; Z 344.000..733.400 mm | Arm_Activation_Powertrain_Assembly/SHORTENED_PRIMARY_ARM-MODULE_LONGERON_TI_02: X -24.200..-22.216 mm; Y -6.263..6.263 mm; Z 344.000..733.400 mm,5-axis mill and jig bore; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,WELDED_BETWEEN_ROUTE_RINGS (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.02557947017485575 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORT-ARM_MODULE_AFT_STRUCTURAL_TERMINATION_RING_TI,DF8-SHORT14-ARM-TERMINATION-RING-001,SHORT-ARM MODULE AFT STRUCTURAL TERMINATION RING,1,Arm_Activation_Powertrain_Assembly/SHORT-ARM_MODULE_AFT_STRUCTURAL_TERMINATION_RING_TI: X -25.300..25.300 mm; Y -25.300..25.300 mm; Z 733.400..741.400 mm,Mill-turn; machine three longeron and stow-guide lands; CMM inspect,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,LASER_WELDED_RING_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.028944490434771264 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORTENED_FIXED_SECTOR_3_WITH_BACKUP-GUIDE_ACCESS_TI,DF8-SHORT14-BACKUP-ACCESS-FIXED-SECTOR-003,SHORTENED FIXED SECTOR 3 WITH BACKUP-GUIDE ACCESS,1,Arm_Activation_Powertrain_Assembly/SHORTENED_FIXED_SECTOR_3_WITH_BACKUP-GUIDE_ACCESS_TI: X 0.422..24.429 mm; Y -28.496..-12.464 mm; Z 344.000..733.400 mm,Hot form; 5-axis trim; occurrence-match mill two inward-open M3 head pockets; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,WELDED_TO_LONGERON (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.17708072899000055 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORTENED_PRIMARY_LONGERON_3_WITH_BACKUP-GUIDE_BORES_TI,DF8-SHORT14-BACKUP-GUIDE-LONGERON-003,SHORTENED PRIMARY LONGERON 3 WITH BACKUP-GUIDE BORES,1,Arm_Activation_Powertrain_Assembly/SHORTENED_PRIMARY_LONGERON_3_WITH_BACKUP-GUIDE_BORES_TI: X 5.953..17.112 mm; Y -23.375..-16.263 mm; Z 344.000..733.400 mm,5-axis mill; jig bore routes; drill 2X radial M3 clearance; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,WELDED_BETWEEN_ROUTE_RINGS (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.02536196076122347 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
