connection_id,occurrence_id,mate_occurrence_id,connection_type,retaining_hardware,axial_retention,lateral_retention,anti_rotation,upstream_load_path,downstream_load_path,service_method,evidence,attachment_requirement_count_for_pair,endpoints_exist,status
DETAIL-PIVOT-PIN-1-TO-ARM-1,PIVOT-PIN-1,ARM-1,CAPTIVE_HARDWARE,PIVOT-PIN-1 retained by PIVOT-CLIP-1,PIVOT-PIN-1:PIN_GROUND_SHANK_AND_HEAD is axially retained at ARM-1:ARM_AND_CARRIER_COAXIAL_BORES,"ARM-1:ARM_AND_CARRIER_COAXIAL_BORES provides the lateral pilot, clevis, channel, or guide for PIVOT-PIN-1",PIN_GROUND_SHANK_AND_HEAD/ARM_AND_CARRIER_COAXIAL_BORES and the named hardware prevent unintended rotation,ARM-1,PIVOT-PIN-1,Service the named PIVOT-PIN-1 retained by PIVOT-CLIP-1 at this exact occurrence pair,Enumerated modeled joint PIVOT-PIN-1:PIN_GROUND_SHANK_AND_HEAD to ARM-1:ARM_AND_CARRIER_COAXIAL_BORES; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-BUSH-1-1-TO-ARM-1,PIVOT-BUSH-1-1,ARM-1,CAPTIVE_HARDWARE,Interference-fit PEEK-lined bushing with controlled shoulder,PIVOT-BUSH-1-1:BUSHING_PRESS_FIT_OD is axially retained at ARM-1:ARM_PIVOT_BOSS_COUNTERBORE,"ARM-1:ARM_PIVOT_BOSS_COUNTERBORE provides the lateral pilot, clevis, channel, or guide for PIVOT-BUSH-1-1",BUSHING_PRESS_FIT_OD/ARM_PIVOT_BOSS_COUNTERBORE and the named hardware prevent unintended rotation,ARM-1,PIVOT-BUSH-1-1,Service the named Interference-fit PEEK-lined bushing with controlled shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-BUSH-1-1:BUSHING_PRESS_FIT_OD to ARM-1:ARM_PIVOT_BOSS_COUNTERBORE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-BUSH-1-2-TO-ARM-1,PIVOT-BUSH-1-2,ARM-1,CAPTIVE_HARDWARE,Interference-fit PEEK-lined bushing with controlled shoulder,PIVOT-BUSH-1-2:BUSHING_PRESS_FIT_OD is axially retained at ARM-1:ARM_PIVOT_BOSS_COUNTERBORE,"ARM-1:ARM_PIVOT_BOSS_COUNTERBORE provides the lateral pilot, clevis, channel, or guide for PIVOT-BUSH-1-2",BUSHING_PRESS_FIT_OD/ARM_PIVOT_BOSS_COUNTERBORE and the named hardware prevent unintended rotation,ARM-1,PIVOT-BUSH-1-2,Service the named Interference-fit PEEK-lined bushing with controlled shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-BUSH-1-2:BUSHING_PRESS_FIT_OD to ARM-1:ARM_PIVOT_BOSS_COUNTERBORE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-WASHER-1-1-TO-ARM-1,PIVOT-WASHER-1-1,ARM-1,CAPTIVE_HARDWARE,Captive thrust washer on PIVOT-PIN-1 shoulder,PIVOT-WASHER-1-1:THRUST_WASHER_FACES is axially retained at ARM-1:ARM_PIVOT_BOSS_THRUST_FACE,"ARM-1:ARM_PIVOT_BOSS_THRUST_FACE provides the lateral pilot, clevis, channel, or guide for PIVOT-WASHER-1-1",THRUST_WASHER_FACES/ARM_PIVOT_BOSS_THRUST_FACE and the named hardware prevent unintended rotation,ARM-1,PIVOT-WASHER-1-1,Service the named Captive thrust washer on PIVOT-PIN-1 shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-WASHER-1-1:THRUST_WASHER_FACES to ARM-1:ARM_PIVOT_BOSS_THRUST_FACE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-WASHER-1-2-TO-ARM-1,PIVOT-WASHER-1-2,ARM-1,CAPTIVE_HARDWARE,Captive thrust washer on PIVOT-PIN-1 shoulder,PIVOT-WASHER-1-2:THRUST_WASHER_FACES is axially retained at ARM-1:ARM_PIVOT_BOSS_THRUST_FACE,"ARM-1:ARM_PIVOT_BOSS_THRUST_FACE provides the lateral pilot, clevis, channel, or guide for PIVOT-WASHER-1-2",THRUST_WASHER_FACES/ARM_PIVOT_BOSS_THRUST_FACE and the named hardware prevent unintended rotation,ARM-1,PIVOT-WASHER-1-2,Service the named Captive thrust washer on PIVOT-PIN-1 shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-WASHER-1-2:THRUST_WASHER_FACES to ARM-1:ARM_PIVOT_BOSS_THRUST_FACE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-CLIP-1-TO-PIVOT-PIN-1,PIVOT-CLIP-1,PIVOT-PIN-1,CAPTIVE_HARDWARE,PIVOT-CLIP-1 seated in PIVOT-PIN-1 external groove,PIVOT-CLIP-1:EXTERNAL_SPIRAL_RING is axially retained at PIVOT-PIN-1:PIVOT_PIN_RETAINER_GROOVE,"PIVOT-PIN-1:PIVOT_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for PIVOT-CLIP-1",EXTERNAL_SPIRAL_RING/PIVOT_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,PIVOT-PIN-1,PIVOT-CLIP-1,Service the named PIVOT-CLIP-1 seated in PIVOT-PIN-1 external groove at this exact occurrence pair,Enumerated modeled joint PIVOT-CLIP-1:EXTERNAL_SPIRAL_RING to PIVOT-PIN-1:PIVOT_PIN_RETAINER_GROOVE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-LINK-PIN-1-BELL-TO-ARM-1,LINK-PIN-1-BELL,ARM-1,CAPTIVE_LINK_CLEVIS_PIN,LINK-PIN-1-BELL retained by LINK-CLIP-1-BELL,LINK-PIN-1-BELL:PIN_GROUND_SHANK_AND_HEAD is axially retained at ARM-1:BELL_DOUBLE_SHEAR_CLEVIS_BORES,"ARM-1:BELL_DOUBLE_SHEAR_CLEVIS_BORES provides the lateral pilot, clevis, channel, or guide for LINK-PIN-1-BELL",PIN_GROUND_SHANK_AND_HEAD/BELL_DOUBLE_SHEAR_CLEVIS_BORES and the named hardware prevent unintended rotation,ARM-1,LINK-PIN-1-BELL,Service the named LINK-PIN-1-BELL retained by LINK-CLIP-1-BELL at this exact occurrence pair,Enumerated modeled joint LINK-PIN-1-BELL:PIN_GROUND_SHANK_AND_HEAD to ARM-1:BELL_DOUBLE_SHEAR_CLEVIS_BORES; class CAPTIVE_LINK_CLEVIS_PIN,1,YES,CONNECTED
DETAIL-LINK-CLIP-1-BELL-TO-LINK-PIN-1-BELL,LINK-CLIP-1-BELL,LINK-PIN-1-BELL,EXTERNAL_GROOVE_RETAINER,LINK-CLIP-1-BELL seated in LINK-PIN-1-BELL external groove,LINK-CLIP-1-BELL:EXTERNAL_E_RING is axially retained at LINK-PIN-1-BELL:LINK_PIN_RETAINER_GROOVE,"LINK-PIN-1-BELL:LINK_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for LINK-CLIP-1-BELL",EXTERNAL_E_RING/LINK_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,LINK-PIN-1-BELL,LINK-CLIP-1-BELL,Service the named LINK-CLIP-1-BELL seated in LINK-PIN-1-BELL external groove at this exact occurrence pair,Enumerated modeled joint LINK-CLIP-1-BELL:EXTERNAL_E_RING to LINK-PIN-1-BELL:LINK_PIN_RETAINER_GROOVE; class EXTERNAL_GROOVE_RETAINER,1,YES,CONNECTED
DETAIL-LINK-PIN-1-CROSSHEAD-TO-CROSSHEAD-001,LINK-PIN-1-CROSSHEAD,CROSSHEAD-001,CAPTIVE_LINK_CLEVIS_PIN,LINK-PIN-1-CROSSHEAD retained by LINK-CLIP-1-CROSSHEAD,LINK-PIN-1-CROSSHEAD:PIN_GROUND_SHANK_AND_HEAD is axially retained at CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES,"CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES provides the lateral pilot, clevis, channel, or guide for LINK-PIN-1-CROSSHEAD",PIN_GROUND_SHANK_AND_HEAD/CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES and the named hardware prevent unintended rotation,CROSSHEAD-001,LINK-PIN-1-CROSSHEAD,Service the named LINK-PIN-1-CROSSHEAD retained by LINK-CLIP-1-CROSSHEAD at this exact occurrence pair,Enumerated modeled joint LINK-PIN-1-CROSSHEAD:PIN_GROUND_SHANK_AND_HEAD to CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES; class CAPTIVE_LINK_CLEVIS_PIN,1,YES,CONNECTED
DETAIL-LINK-CLIP-1-CROSSHEAD-TO-LINK-PIN-1-CROSSHEAD,LINK-CLIP-1-CROSSHEAD,LINK-PIN-1-CROSSHEAD,EXTERNAL_GROOVE_RETAINER,LINK-CLIP-1-CROSSHEAD seated in LINK-PIN-1-CROSSHEAD external groove,LINK-CLIP-1-CROSSHEAD:EXTERNAL_E_RING is axially retained at LINK-PIN-1-CROSSHEAD:LINK_PIN_RETAINER_GROOVE,"LINK-PIN-1-CROSSHEAD:LINK_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for LINK-CLIP-1-CROSSHEAD",EXTERNAL_E_RING/LINK_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,LINK-PIN-1-CROSSHEAD,LINK-CLIP-1-CROSSHEAD,Service the named LINK-CLIP-1-CROSSHEAD seated in LINK-PIN-1-CROSSHEAD external groove at this exact occurrence pair,Enumerated modeled joint LINK-CLIP-1-CROSSHEAD:EXTERNAL_E_RING to LINK-PIN-1-CROSSHEAD:LINK_PIN_RETAINER_GROOVE; class EXTERNAL_GROOVE_RETAINER,1,YES,CONNECTED
DETAIL-PIVOT-PIN-2-TO-ARM-2,PIVOT-PIN-2,ARM-2,CAPTIVE_HARDWARE,PIVOT-PIN-2 retained by PIVOT-CLIP-2,PIVOT-PIN-2:PIN_GROUND_SHANK_AND_HEAD is axially retained at ARM-2:ARM_AND_CARRIER_COAXIAL_BORES,"ARM-2:ARM_AND_CARRIER_COAXIAL_BORES provides the lateral pilot, clevis, channel, or guide for PIVOT-PIN-2",PIN_GROUND_SHANK_AND_HEAD/ARM_AND_CARRIER_COAXIAL_BORES and the named hardware prevent unintended rotation,ARM-2,PIVOT-PIN-2,Service the named PIVOT-PIN-2 retained by PIVOT-CLIP-2 at this exact occurrence pair,Enumerated modeled joint PIVOT-PIN-2:PIN_GROUND_SHANK_AND_HEAD to ARM-2:ARM_AND_CARRIER_COAXIAL_BORES; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-BUSH-2-1-TO-ARM-2,PIVOT-BUSH-2-1,ARM-2,CAPTIVE_HARDWARE,Interference-fit PEEK-lined bushing with controlled shoulder,PIVOT-BUSH-2-1:BUSHING_PRESS_FIT_OD is axially retained at ARM-2:ARM_PIVOT_BOSS_COUNTERBORE,"ARM-2:ARM_PIVOT_BOSS_COUNTERBORE provides the lateral pilot, clevis, channel, or guide for PIVOT-BUSH-2-1",BUSHING_PRESS_FIT_OD/ARM_PIVOT_BOSS_COUNTERBORE and the named hardware prevent unintended rotation,ARM-2,PIVOT-BUSH-2-1,Service the named Interference-fit PEEK-lined bushing with controlled shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-BUSH-2-1:BUSHING_PRESS_FIT_OD to ARM-2:ARM_PIVOT_BOSS_COUNTERBORE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-BUSH-2-2-TO-ARM-2,PIVOT-BUSH-2-2,ARM-2,CAPTIVE_HARDWARE,Interference-fit PEEK-lined bushing with controlled shoulder,PIVOT-BUSH-2-2:BUSHING_PRESS_FIT_OD is axially retained at ARM-2:ARM_PIVOT_BOSS_COUNTERBORE,"ARM-2:ARM_PIVOT_BOSS_COUNTERBORE provides the lateral pilot, clevis, channel, or guide for PIVOT-BUSH-2-2",BUSHING_PRESS_FIT_OD/ARM_PIVOT_BOSS_COUNTERBORE and the named hardware prevent unintended rotation,ARM-2,PIVOT-BUSH-2-2,Service the named Interference-fit PEEK-lined bushing with controlled shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-BUSH-2-2:BUSHING_PRESS_FIT_OD to ARM-2:ARM_PIVOT_BOSS_COUNTERBORE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-WASHER-2-1-TO-ARM-2,PIVOT-WASHER-2-1,ARM-2,CAPTIVE_HARDWARE,Captive thrust washer on PIVOT-PIN-2 shoulder,PIVOT-WASHER-2-1:THRUST_WASHER_FACES is axially retained at ARM-2:ARM_PIVOT_BOSS_THRUST_FACE,"ARM-2:ARM_PIVOT_BOSS_THRUST_FACE provides the lateral pilot, clevis, channel, or guide for PIVOT-WASHER-2-1",THRUST_WASHER_FACES/ARM_PIVOT_BOSS_THRUST_FACE and the named hardware prevent unintended rotation,ARM-2,PIVOT-WASHER-2-1,Service the named Captive thrust washer on PIVOT-PIN-2 shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-WASHER-2-1:THRUST_WASHER_FACES to ARM-2:ARM_PIVOT_BOSS_THRUST_FACE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-WASHER-2-2-TO-ARM-2,PIVOT-WASHER-2-2,ARM-2,CAPTIVE_HARDWARE,Captive thrust washer on PIVOT-PIN-2 shoulder,PIVOT-WASHER-2-2:THRUST_WASHER_FACES is axially retained at ARM-2:ARM_PIVOT_BOSS_THRUST_FACE,"ARM-2:ARM_PIVOT_BOSS_THRUST_FACE provides the lateral pilot, clevis, channel, or guide for PIVOT-WASHER-2-2",THRUST_WASHER_FACES/ARM_PIVOT_BOSS_THRUST_FACE and the named hardware prevent unintended rotation,ARM-2,PIVOT-WASHER-2-2,Service the named Captive thrust washer on PIVOT-PIN-2 shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-WASHER-2-2:THRUST_WASHER_FACES to ARM-2:ARM_PIVOT_BOSS_THRUST_FACE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-CLIP-2-TO-PIVOT-PIN-2,PIVOT-CLIP-2,PIVOT-PIN-2,CAPTIVE_HARDWARE,PIVOT-CLIP-2 seated in PIVOT-PIN-2 external groove,PIVOT-CLIP-2:EXTERNAL_SPIRAL_RING is axially retained at PIVOT-PIN-2:PIVOT_PIN_RETAINER_GROOVE,"PIVOT-PIN-2:PIVOT_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for PIVOT-CLIP-2",EXTERNAL_SPIRAL_RING/PIVOT_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,PIVOT-PIN-2,PIVOT-CLIP-2,Service the named PIVOT-CLIP-2 seated in PIVOT-PIN-2 external groove at this exact occurrence pair,Enumerated modeled joint PIVOT-CLIP-2:EXTERNAL_SPIRAL_RING to PIVOT-PIN-2:PIVOT_PIN_RETAINER_GROOVE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-LINK-PIN-2-BELL-TO-ARM-2,LINK-PIN-2-BELL,ARM-2,CAPTIVE_LINK_CLEVIS_PIN,LINK-PIN-2-BELL retained by LINK-CLIP-2-BELL,LINK-PIN-2-BELL:PIN_GROUND_SHANK_AND_HEAD is axially retained at ARM-2:BELL_DOUBLE_SHEAR_CLEVIS_BORES,"ARM-2:BELL_DOUBLE_SHEAR_CLEVIS_BORES provides the lateral pilot, clevis, channel, or guide for LINK-PIN-2-BELL",PIN_GROUND_SHANK_AND_HEAD/BELL_DOUBLE_SHEAR_CLEVIS_BORES and the named hardware prevent unintended rotation,ARM-2,LINK-PIN-2-BELL,Service the named LINK-PIN-2-BELL retained by LINK-CLIP-2-BELL at this exact occurrence pair,Enumerated modeled joint LINK-PIN-2-BELL:PIN_GROUND_SHANK_AND_HEAD to ARM-2:BELL_DOUBLE_SHEAR_CLEVIS_BORES; class CAPTIVE_LINK_CLEVIS_PIN,1,YES,CONNECTED
DETAIL-LINK-CLIP-2-BELL-TO-LINK-PIN-2-BELL,LINK-CLIP-2-BELL,LINK-PIN-2-BELL,EXTERNAL_GROOVE_RETAINER,LINK-CLIP-2-BELL seated in LINK-PIN-2-BELL external groove,LINK-CLIP-2-BELL:EXTERNAL_E_RING is axially retained at LINK-PIN-2-BELL:LINK_PIN_RETAINER_GROOVE,"LINK-PIN-2-BELL:LINK_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for LINK-CLIP-2-BELL",EXTERNAL_E_RING/LINK_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,LINK-PIN-2-BELL,LINK-CLIP-2-BELL,Service the named LINK-CLIP-2-BELL seated in LINK-PIN-2-BELL external groove at this exact occurrence pair,Enumerated modeled joint LINK-CLIP-2-BELL:EXTERNAL_E_RING to LINK-PIN-2-BELL:LINK_PIN_RETAINER_GROOVE; class EXTERNAL_GROOVE_RETAINER,1,YES,CONNECTED
DETAIL-LINK-PIN-2-CROSSHEAD-TO-CROSSHEAD-001,LINK-PIN-2-CROSSHEAD,CROSSHEAD-001,CAPTIVE_LINK_CLEVIS_PIN,LINK-PIN-2-CROSSHEAD retained by LINK-CLIP-2-CROSSHEAD,LINK-PIN-2-CROSSHEAD:PIN_GROUND_SHANK_AND_HEAD is axially retained at CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES,"CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES provides the lateral pilot, clevis, channel, or guide for LINK-PIN-2-CROSSHEAD",PIN_GROUND_SHANK_AND_HEAD/CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES and the named hardware prevent unintended rotation,CROSSHEAD-001,LINK-PIN-2-CROSSHEAD,Service the named LINK-PIN-2-CROSSHEAD retained by LINK-CLIP-2-CROSSHEAD at this exact occurrence pair,Enumerated modeled joint LINK-PIN-2-CROSSHEAD:PIN_GROUND_SHANK_AND_HEAD to CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES; class CAPTIVE_LINK_CLEVIS_PIN,1,YES,CONNECTED
DETAIL-LINK-CLIP-2-CROSSHEAD-TO-LINK-PIN-2-CROSSHEAD,LINK-CLIP-2-CROSSHEAD,LINK-PIN-2-CROSSHEAD,EXTERNAL_GROOVE_RETAINER,LINK-CLIP-2-CROSSHEAD seated in LINK-PIN-2-CROSSHEAD external groove,LINK-CLIP-2-CROSSHEAD:EXTERNAL_E_RING is axially retained at LINK-PIN-2-CROSSHEAD:LINK_PIN_RETAINER_GROOVE,"LINK-PIN-2-CROSSHEAD:LINK_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for LINK-CLIP-2-CROSSHEAD",EXTERNAL_E_RING/LINK_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,LINK-PIN-2-CROSSHEAD,LINK-CLIP-2-CROSSHEAD,Service the named LINK-CLIP-2-CROSSHEAD seated in LINK-PIN-2-CROSSHEAD external groove at this exact occurrence pair,Enumerated modeled joint LINK-CLIP-2-CROSSHEAD:EXTERNAL_E_RING to LINK-PIN-2-CROSSHEAD:LINK_PIN_RETAINER_GROOVE; class EXTERNAL_GROOVE_RETAINER,1,YES,CONNECTED
DETAIL-PIVOT-PIN-3-TO-ARM-3,PIVOT-PIN-3,ARM-3,CAPTIVE_HARDWARE,PIVOT-PIN-3 retained by PIVOT-CLIP-3,PIVOT-PIN-3:PIN_GROUND_SHANK_AND_HEAD is axially retained at ARM-3:ARM_AND_CARRIER_COAXIAL_BORES,"ARM-3:ARM_AND_CARRIER_COAXIAL_BORES provides the lateral pilot, clevis, channel, or guide for PIVOT-PIN-3",PIN_GROUND_SHANK_AND_HEAD/ARM_AND_CARRIER_COAXIAL_BORES and the named hardware prevent unintended rotation,ARM-3,PIVOT-PIN-3,Service the named PIVOT-PIN-3 retained by PIVOT-CLIP-3 at this exact occurrence pair,Enumerated modeled joint PIVOT-PIN-3:PIN_GROUND_SHANK_AND_HEAD to ARM-3:ARM_AND_CARRIER_COAXIAL_BORES; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-BUSH-3-1-TO-ARM-3,PIVOT-BUSH-3-1,ARM-3,CAPTIVE_HARDWARE,Interference-fit PEEK-lined bushing with controlled shoulder,PIVOT-BUSH-3-1:BUSHING_PRESS_FIT_OD is axially retained at ARM-3:ARM_PIVOT_BOSS_COUNTERBORE,"ARM-3:ARM_PIVOT_BOSS_COUNTERBORE provides the lateral pilot, clevis, channel, or guide for PIVOT-BUSH-3-1",BUSHING_PRESS_FIT_OD/ARM_PIVOT_BOSS_COUNTERBORE and the named hardware prevent unintended rotation,ARM-3,PIVOT-BUSH-3-1,Service the named Interference-fit PEEK-lined bushing with controlled shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-BUSH-3-1:BUSHING_PRESS_FIT_OD to ARM-3:ARM_PIVOT_BOSS_COUNTERBORE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-BUSH-3-2-TO-ARM-3,PIVOT-BUSH-3-2,ARM-3,CAPTIVE_HARDWARE,Interference-fit PEEK-lined bushing with controlled shoulder,PIVOT-BUSH-3-2:BUSHING_PRESS_FIT_OD is axially retained at ARM-3:ARM_PIVOT_BOSS_COUNTERBORE,"ARM-3:ARM_PIVOT_BOSS_COUNTERBORE provides the lateral pilot, clevis, channel, or guide for PIVOT-BUSH-3-2",BUSHING_PRESS_FIT_OD/ARM_PIVOT_BOSS_COUNTERBORE and the named hardware prevent unintended rotation,ARM-3,PIVOT-BUSH-3-2,Service the named Interference-fit PEEK-lined bushing with controlled shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-BUSH-3-2:BUSHING_PRESS_FIT_OD to ARM-3:ARM_PIVOT_BOSS_COUNTERBORE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-WASHER-3-1-TO-ARM-3,PIVOT-WASHER-3-1,ARM-3,CAPTIVE_HARDWARE,Captive thrust washer on PIVOT-PIN-3 shoulder,PIVOT-WASHER-3-1:THRUST_WASHER_FACES is axially retained at ARM-3:ARM_PIVOT_BOSS_THRUST_FACE,"ARM-3:ARM_PIVOT_BOSS_THRUST_FACE provides the lateral pilot, clevis, channel, or guide for PIVOT-WASHER-3-1",THRUST_WASHER_FACES/ARM_PIVOT_BOSS_THRUST_FACE and the named hardware prevent unintended rotation,ARM-3,PIVOT-WASHER-3-1,Service the named Captive thrust washer on PIVOT-PIN-3 shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-WASHER-3-1:THRUST_WASHER_FACES to ARM-3:ARM_PIVOT_BOSS_THRUST_FACE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-WASHER-3-2-TO-ARM-3,PIVOT-WASHER-3-2,ARM-3,CAPTIVE_HARDWARE,Captive thrust washer on PIVOT-PIN-3 shoulder,PIVOT-WASHER-3-2:THRUST_WASHER_FACES is axially retained at ARM-3:ARM_PIVOT_BOSS_THRUST_FACE,"ARM-3:ARM_PIVOT_BOSS_THRUST_FACE provides the lateral pilot, clevis, channel, or guide for PIVOT-WASHER-3-2",THRUST_WASHER_FACES/ARM_PIVOT_BOSS_THRUST_FACE and the named hardware prevent unintended rotation,ARM-3,PIVOT-WASHER-3-2,Service the named Captive thrust washer on PIVOT-PIN-3 shoulder at this exact occurrence pair,Enumerated modeled joint PIVOT-WASHER-3-2:THRUST_WASHER_FACES to ARM-3:ARM_PIVOT_BOSS_THRUST_FACE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-PIVOT-CLIP-3-TO-PIVOT-PIN-3,PIVOT-CLIP-3,PIVOT-PIN-3,CAPTIVE_HARDWARE,PIVOT-CLIP-3 seated in PIVOT-PIN-3 external groove,PIVOT-CLIP-3:EXTERNAL_SPIRAL_RING is axially retained at PIVOT-PIN-3:PIVOT_PIN_RETAINER_GROOVE,"PIVOT-PIN-3:PIVOT_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for PIVOT-CLIP-3",EXTERNAL_SPIRAL_RING/PIVOT_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,PIVOT-PIN-3,PIVOT-CLIP-3,Service the named PIVOT-CLIP-3 seated in PIVOT-PIN-3 external groove at this exact occurrence pair,Enumerated modeled joint PIVOT-CLIP-3:EXTERNAL_SPIRAL_RING to PIVOT-PIN-3:PIVOT_PIN_RETAINER_GROOVE; class CAPTIVE_HARDWARE,1,YES,CONNECTED
DETAIL-LINK-PIN-3-BELL-TO-ARM-3,LINK-PIN-3-BELL,ARM-3,CAPTIVE_LINK_CLEVIS_PIN,LINK-PIN-3-BELL retained by LINK-CLIP-3-BELL,LINK-PIN-3-BELL:PIN_GROUND_SHANK_AND_HEAD is axially retained at ARM-3:BELL_DOUBLE_SHEAR_CLEVIS_BORES,"ARM-3:BELL_DOUBLE_SHEAR_CLEVIS_BORES provides the lateral pilot, clevis, channel, or guide for LINK-PIN-3-BELL",PIN_GROUND_SHANK_AND_HEAD/BELL_DOUBLE_SHEAR_CLEVIS_BORES and the named hardware prevent unintended rotation,ARM-3,LINK-PIN-3-BELL,Service the named LINK-PIN-3-BELL retained by LINK-CLIP-3-BELL at this exact occurrence pair,Enumerated modeled joint LINK-PIN-3-BELL:PIN_GROUND_SHANK_AND_HEAD to ARM-3:BELL_DOUBLE_SHEAR_CLEVIS_BORES; class CAPTIVE_LINK_CLEVIS_PIN,1,YES,CONNECTED
DETAIL-LINK-CLIP-3-BELL-TO-LINK-PIN-3-BELL,LINK-CLIP-3-BELL,LINK-PIN-3-BELL,EXTERNAL_GROOVE_RETAINER,LINK-CLIP-3-BELL seated in LINK-PIN-3-BELL external groove,LINK-CLIP-3-BELL:EXTERNAL_E_RING is axially retained at LINK-PIN-3-BELL:LINK_PIN_RETAINER_GROOVE,"LINK-PIN-3-BELL:LINK_PIN_RETAINER_GROOVE provides the lateral pilot, clevis, channel, or guide for LINK-CLIP-3-BELL",EXTERNAL_E_RING/LINK_PIN_RETAINER_GROOVE and the named hardware prevent unintended rotation,LINK-PIN-3-BELL,LINK-CLIP-3-BELL,Service the named LINK-CLIP-3-BELL seated in LINK-PIN-3-BELL external groove at this exact occurrence pair,Enumerated modeled joint LINK-CLIP-3-BELL:EXTERNAL_E_RING to LINK-PIN-3-BELL:LINK_PIN_RETAINER_GROOVE; class EXTERNAL_GROOVE_RETAINER,1,YES,CONNECTED
DETAIL-LINK-PIN-3-CROSSHEAD-TO-CROSSHEAD-001,LINK-PIN-3-CROSSHEAD,CROSSHEAD-001,CAPTIVE_LINK_CLEVIS_PIN,LINK-PIN-3-CROSSHEAD retained by LINK-CLIP-3-CROSSHEAD,LINK-PIN-3-CROSSHEAD:PIN_GROUND_SHANK_AND_HEAD is axially retained at CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES,"CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES provides the lateral pilot, clevis, channel, or guide for LINK-PIN-3-CROSSHEAD",PIN_GROUND_SHANK_AND_HEAD/CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES and the named hardware prevent unintended rotation,CROSSHEAD-001,LINK-PIN-3-CROSSHEAD,Service the named LINK-PIN-3-CROSSHEAD retained by LINK-CLIP-3-CROSSHEAD at this exact occurrence pair,Enumerated modeled joint LINK-PIN-3-CROSSHEAD:PIN_GROUND_SHANK_AND_HEAD to CROSSHEAD-001:CROSSHEAD_DOUBLE_SHEAR_CLEVIS_BORES; class CAPTIVE_LINK_CLEVIS_PIN,1,YES,CONNECTED
