part_number,part_name,included_in_deck,cots_classification,vendor_or_manufacturer,vendor_catalog_part_number,parent_purchased_assembly_part_number,catalog_identity_status,catalog_source_url,vendor_serial_lot_or_heat_identifier,serial_lot_or_heat_verified,certificate_of_conformance_status,certificate_of_conformance_verified,certificate_evidence_reference,receiving_release_disposition
"DF8-R2-ROUTED-LONGERON-001","PRIMARY LONGERON WITH TWO JIG-BORED ROUTE CHANNELS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-SHORT-LINK-001","19.950 MM CENTER-DISTANCE REAMED SHORT LINK","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-STOW-DOG-001","CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-STOW-DOG-GUIDE-001","FULL-STROKE AFT-RING-MOUNTED STOW-DOG U-GUIDE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-STOW-DOG-INHIBIT-KEEPER-001","CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-STOW-DOG-INHIBIT-PIN-001","WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-STOW-DOG-RETURN-SPRING-001","CAPTIVE STOW-DOG RADIAL RETURN SPRING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-STRUCT-RING-PLAIN-001","PRIMARY STRUCTURAL TRANSITION RING WITH FOUR TAPPED CARRIER LANDS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-STRUCT-RING-ROUTED-001","STRUCTURAL RING WITH ROUTE PASSAGES, ARM RELIEFS AND FULLFLOW CIRCLIP REACTION CAGE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-TETHER-THIMBLE-001","AMSTEEL EYE-SPLICE THIMBLE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-WATER-INLET-001","RADIAL FLOOD INLET, GLAND AND ANTI-DEBRIS SCREEN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-WATER-TRIGGER-HSG-001","CENTRAL WATER-SENSITIVE TRIGGER HOUSING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-WATER-BOBBIN-SERVICE-CAP-001","CAPTIVE WATER-BOBBIN THREADED/BAYONET SERVICE CAP","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"GN-615.3-M3-KN-PFB","JW WINCO M3 STAINLESS BALL PLUNGER","true","COTS_BUY","JW Winco / Ganter","GN 615.3-M3-KN-PFB","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Spring-plungers/GN-615.3-Steel-Stainless-Steel-Ball-Plungers-with-thread-locking-with-ball-with-internal-hexagon","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"GS-19-50-V4A-B8-B8","ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY","true","COTS_BUY","ACE Controls","GS-19-50-V4A-B8-B8","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.acecontrols.com/us/calculations/gas-spring-configurator.html","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"GS-19-50-V4A-B8-B8-ROD-CHILD","ACE GS-19 MOVING ROD ARTICULATION CHILD","true","COTS_SUBCOMPONENT_CHILD","ACE Controls","GS-19-50-V4A-B8-B8","GS-19-50-V4A-B8-B8","SOURCE-IDENTIFIED — geometry child governed by parent purchased assembly","https://www.acecontrols.com/us/calculations/gas-spring-configurator.html","NOT PROVIDED — inherit from parent received assembly","false","NOT VERIFIED — inherit parent assembly CoC evidence","false","NONE IN PACKAGE","HOLD WITH PARENT — do not treat as a separately orderable line"
"HBD-15-25-AA-P","ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY","true","COTS_BUY","ACE Controls","HBD-15-25-AA-P","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"HBD-15-25-AA-P-ROD-CHILD","HBD MOVING ROD ARTICULATION CHILD","true","COTS_SUBCOMPONENT_CHILD","ACE Controls","HBD-15-25-AA-P","HBD-15-25-AA-P","SOURCE-IDENTIFIED — geometry child governed by parent purchased assembly","https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html","NOT PROVIDED — inherit from parent received assembly","false","NOT VERIFIED — inherit parent assembly CoC evidence","false","NONE IN PACKAGE","HOLD WITH PARENT — do not treat as a separately orderable line"
"HDP-3-8-A1","3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE","true","COTS_BUY","Accu","HDP-3-8-A1","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"HEC-10-A4","10 MM EXTERNAL CIRCLIP, DIN 471","true","COTS_BUY","Accu","HEC-10-A4","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/external-circlips/629101-HEC-10-A4","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"HTP-3-30-A1","3 MM X 30 MM TAPER PIN, DIN 1B","true","COTS_BUY","Accu","HTP-3-30-A1","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"LELAND-81121","LELAND 81121 12 G CO2 CARTRIDGE","true","COTS_BUY","Leland Gas Technologies","81121","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"ROTOR-CLIP-DC-4SS","ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT","true","COTS_BUY","Rotor Clip","DC-4SS","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.rotorclip.com/product/dc-4/","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"SS-CHS2-1","SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG","true","COTS_BUY","Swagelok","SS-CHS2-1","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://products.swagelok.com/en/c/fixed-pressure/p/SS-CHS2-1","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"SSCA-M3-8-A4-BL","M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912","false","COTS_BUY","Accu","SSCA-M3-8-A4-BL","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"SSCF-M3-10-A4","M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","false","COTS_BUY","Accu","SSCF-M3-10-A4","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"SSCF-M3-6-A4","M3 X 6 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","false","COTS_BUY","Accu","SSCF-M3-6-A4","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/metric-cap-head-screws/3973-SSCF-M3-6-A4","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"SSCL-M4-8-A4","M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984","false","COTS_BUY","Accu","SSCL-M4-8-A4","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"SSK-M3-6-A4-P80","M3 X 6 SOCKET COUNTERSUNK SCREW, ISO 10642, PRECOTE 80","false","COTS_BUY","Accu","SSK-M3-6-A4-P80","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://www.accu.co.uk/countersunk-socket-head-screws/795226-SSK-M3-6-A4-P80","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"V80040","HALKEY-ROBERTS WATER-SENSITIVE BOBBIN","true","COTS_BUY","Nordson MEDICAL / Halkey-Roberts","V80040","N/A","SOURCE-IDENTIFIED — vendor/catalog identity recorded; delivered unit not inspected","https://fluid-components.nordsonmedical.com/Resources/Orders/","NOT PROVIDED — capture supplier serial, lot, batch, or heat ID at receiving","false","NOT VERIFIED — no delivered-unit supplier CoC is present in this package","false","NONE IN PACKAGE","HOLD — verify received item identity and retain supplier CoC before release"
"WP04-AFT-RAIL-SUPPORT-R2","ONE-PIECE AFT GUIDE-RAIL SUPPORT RING WITH THREE M3 THREADS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-FIXED-GUIDE-SLEEVE-R2","BULKHEAD-MOUNTED FIXED TELESCOPING SPRING GUIDE AND SEAT","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-FOL-001-R2","CAPTIVE PEEK FOLLOWER WITH THREE GUIDE SLOTS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-GUIDE-RAIL-001-R2","FOLLOWER ANTI-ROTATION GUIDE RAIL WITH TWO M3 CAPTIVE-SCREW END LANDS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-HST-001-R2","HARNESS STRUCTURAL TERMINAL WITH FOUR WEB SLOTS AND DOUBLE-SHEAR CLEVIS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-LATCH-HOUSING-R2","RADIAL FOLLOWER LATCH HOUSING WITH REAMED SEAR GUIDE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-LATCH-SEAR-E-RING-R2","4 MM SEAR PIN EXTERNAL RETAINING RING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-LATCH-SEAR-R2","CAPTIVE RADIAL FOLLOWER SEAR PLUNGER WITH RETAINING RING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-LATCH-SUPPORT-R2","GUIDE-RAIL-3 TO LATCH TWO-SCREW SUPPORT BLADE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-MOVING-GUIDE-SLEEVE-R2","FOLLOWER-MOUNTED INNER TELESCOPING SPRING GUIDE SLEEVE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-RB-001-R2","SPRING REACTION BULKHEAD WITH GUIDE-RAIL BORES AND PERMANENT SHELL LAND","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP04-RHP-001-R2","INTEGRAL STRUCTURAL RING AND RECOVERY HARDPOINT LUG","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP05-DOOR-LANYARD-R2","CAPTIVE DOOR LANYARD WITH SWAGED EYES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP05-DOOR-R2","CAPTIVE LOW-FORCE AFT DOOR WITH HINGE AND LANYARD EYE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP05-HINGE-CRESCENT-RING-R2","3 MM HINGE-PIN EXTERNAL CRESCENT RETAINER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP05-HINGE-PIN-R2","DOOR HINGE PIN WITH EXTERNAL RETAINER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"WP05-SERVICE-THROAT-R2","AFT SERVICE THROAT WITH CONTROLLED DETENT BORES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
